time,bits_transferred_megabits
07-06-05 7:00,3562.279127
07-06-05 7:05,3710.215571
07-06-05 7:10,3877.469703
07-06-05 7:15,3876.354871
07-06-05 7:20,4582.542581
07-06-05 7:25,5016.336869
07-06-05 7:30,5202.513642
07-06-05 7:35,5410.604985
07-06-05 7:40,5408.07132
07-06-05 7:45,5598.04888
07-06-05 7:50,5268.183974
07-06-05 7:55,5205.96591
07-06-05 8:00,5554.284558
07-06-05 8:05,6071.804752
07-06-05 8:10,6533.409311
07-06-05 8:15,6432.612096
07-06-05 8:20,6422.634291
07-06-05 8:25,6413.343245
07-06-05 8:30,6438.472853
07-06-05 8:35,6593.321117
07-06-05 8:40,6386.798311
07-06-05 8:45,6402.829429
07-06-05 8:50,6448.640206
07-06-05 8:55,6758.012799
07-06-05 9:00,6897.537181
07-06-05 9:05,6625.683956
07-06-05 9:10,6786.593033
07-06-05 9:15,6741.090851
07-06-05 9:20,6857.892154
07-06-05 9:25,6885.633911
07-06-05 9:30,7036.186201
07-06-05 9:35,7182.820092
07-06-05 9:40,6897.783063
07-06-05 9:45,6802.926206
07-06-05 9:50,6856.304069
07-06-05 9:55,6963.587768
07-06-05 10:00,7283.56523
07-06-05 10:05,7294.355973
07-06-05 10:10,7277.773691
07-06-05 10:15,7327.652118
07-06-05 10:20,7411.935065
07-06-05 10:25,7559.621824
07-06-05 10:30,7464.144357
07-06-05 10:35,7556.335967
07-06-05 10:40,7531.158925
07-06-05 10:45,7451.588318
07-06-05 10:50,7251.552599
07-06-05 10:55,7387.311025
07-06-05 11:00,7534.902212
07-06-05 11:05,7669.462738
07-06-05 11:10,7806.347806
07-06-05 11:15,7633.844064
07-06-05 11:20,7666.925195
07-06-05 11:25,7520.164584
07-06-05 11:30,7501.747391
07-06-05 11:35,7767.857531
07-06-05 11:40,7232.609101
07-06-05 11:45,7274.338276
07-06-05 11:50,7408.981176
07-06-05 11:55,7230.742271
07-06-05 12:00,7354.167649
07-06-05 12:05,7107.897687
07-06-05 12:10,7295.721127
07-06-05 12:15,7080.999121
07-06-05 12:20,7606.453644
07-06-05 12:25,7642.015997
07-06-05 12:30,7848.884725
07-06-05 12:35,7724.196995
07-06-05 12:40,7650.962743
07-06-05 12:45,7753.904748
07-06-05 12:50,7744.009419
07-06-05 12:55,7336.903262
07-06-05 13:00,7485.654677
07-06-05 13:05,7513.611244
07-06-05 13:10,7644.185813
07-06-05 13:15,7414.962086
07-06-05 13:20,7514.644125
07-06-05 13:25,7445.178236
07-06-05 13:30,7294.385873
07-06-05 13:35,7233.354647
07-06-05 13:40,7332.941859
07-06-05 13:45,7513.492139
07-06-05 13:50,7528.727688
07-06-05 13:55,8536.272286
07-06-05 14:00,7724.842582
07-06-05 14:05,7599.001549
07-06-05 14:10,7348.468015
07-06-05 14:15,7326.3272
07-06-05 14:20,7639.50667
07-06-05 14:25,7802.449354
07-06-05 14:30,7485.672218
07-06-05 14:35,7354.957743
07-06-05 14:40,7497.015314
07-06-05 14:45,7235.630142
07-06-05 14:50,7434.386233
07-06-05 14:55,7519.403839
07-06-05 15:00,7403.087775
07-06-05 15:05,7366.791574
07-06-05 15:10,7577.678754
07-06-05 15:15,7326.68721
07-06-05 15:20,7259.778835
07-06-05 15:25,7499.146875
07-06-05 15:30,7530.74579
07-06-05 15:35,7054.149566
07-06-05 15:40,7134.469847
07-06-05 15:45,7081.949563
07-06-05 15:50,6953.665837
07-06-05 15:55,7023.590624
07-06-05 16:00,6759.900139
07-06-05 16:05,6530.131152
07-06-05 16:10,6447.105457
07-06-05 16:15,6330.514608
07-06-05 16:20,6331.684427
07-06-05 16:25,6223.271197
07-06-05 16:30,6202.872405
07-06-05 16:35,5914.776765
07-06-05 16:40,5917.454777
07-06-05 16:45,5921.237644
07-06-05 16:50,5640.499083
07-06-05 16:55,5391.187185
07-06-05 17:00,5349.731374
07-06-05 17:05,5306.831763
07-06-05 17:10,4924.258813
07-06-05 17:15,4870.140499
07-06-05 17:20,5051.888264
07-06-05 17:25,4936.297774
07-06-05 17:30,4670.716971
07-06-05 17:35,4336.637893
07-06-05 17:40,4315.527574
07-06-05 17:45,4234.212594
07-06-05 17:50,4403.446516
07-06-05 17:55,4295.636203
07-06-05 18:00,4158.312131
07-06-05 18:05,3994.767281
07-06-05 18:10,3981.376101
07-06-05 18:15,4103.194285
07-06-05 18:20,4191.264851
07-06-05 18:25,4107.663994
07-06-05 18:30,3950.115059
07-06-05 18:35,3884.135336
07-06-05 18:40,4106.26781
07-06-05 18:45,3873.014865
07-06-05 18:50,3987.571377
07-06-05 18:55,3772.918776
07-06-05 19:00,3967.867664
07-06-05 19:05,3768.411435
07-06-05 19:10,3524.927741
07-06-05 19:15,3533.644824
07-06-05 19:20,3611.084551
07-06-05 19:25,3718.716907
07-06-05 19:30,3622.619626
07-06-05 19:35,3649.115438
07-06-05 19:40,3824.052475
07-06-05 19:45,3802.783518
07-06-05 19:50,3724.816224
07-06-05 19:55,3658.838363
07-06-05 20:00,3634.119585
07-06-05 20:05,3625.261928
07-06-05 20:10,3670.661268
07-06-05 20:15,3569.002593
07-06-05 20:20,3704.10306
07-06-05 20:25,3600.959582
07-06-05 20:30,3540.508801
07-06-05 20:35,3530.136362
07-06-05 20:40,3586.244712
07-06-05 20:45,3580.008115
07-06-05 20:50,3518.283866
07-06-05 20:55,3490.909198
07-06-05 21:00,3273.634716
07-06-05 21:05,3220.012819
07-06-05 21:10,3268.927551
07-06-05 21:15,3165.384774
07-06-05 21:20,3201.339313
07-06-05 21:25,3168.450654
07-06-05 21:30,3036.703512
07-06-05 21:35,2999.785689
07-06-05 21:40,2931.96953
07-06-05 21:45,3063.506195
07-06-05 21:50,2874.825851
07-06-05 21:55,2756.967891
07-06-05 22:00,2746.056942
07-06-05 22:05,2710.922432
07-06-05 22:10,2687.775945
07-06-05 22:15,2750.878241
07-06-05 22:20,2654.607198
07-06-05 22:25,2649.790823
07-06-05 22:30,2561.522102
07-06-05 22:35,2622.232533
07-06-05 22:40,2569.332246
07-06-05 22:45,2900.771417
07-06-05 22:50,2362.620888
07-06-05 22:55,2338.511945
07-06-05 23:00,2346.308954
07-06-05 23:05,2485.275798
07-06-05 23:10,2383.711038
07-06-05 23:15,2352.537359
07-06-05 23:20,2438.498778
07-06-05 23:25,2387.348189
07-06-05 23:30,2136.407019
07-06-05 23:35,2105.109648
07-06-05 23:40,2108.515945
07-06-05 23:45,2361.817024
07-06-05 23:50,2145.37985
07-06-05 23:55,2216.433223
08-06-05 0:00,2205.983887
08-06-05 0:05,2125.875017
08-06-05 0:10,2386.775906
08-06-05 0:15,2242.831948
08-06-05 0:20,2154.930604
08-06-05 0:25,2106.550611
08-06-05 0:30,2048.932841
08-06-05 0:35,2072.852739
08-06-05 0:40,2146.743453
08-06-05 0:45,1898.012332
08-06-05 0:50,1805.834137
08-06-05 0:55,1846.50909
08-06-05 1:00,1819.926546
08-06-05 1:05,1734.400487
08-06-05 1:10,1785.433036
08-06-05 1:15,1733.610241
08-06-05 1:20,1694.38406
08-06-05 1:25,1701.288588
08-06-05 1:30,1722.159905
08-06-05 1:35,1706.410228
08-06-05 1:40,2015.585016
08-06-05 1:45,1795.574327
08-06-05 1:50,1780.259206
08-06-05 1:55,1671.931744
08-06-05 2:00,1679.005182
08-06-05 2:05,1668.891063
08-06-05 2:10,1728.025343
08-06-05 2:15,1723.17918
08-06-05 2:20,1637.898222
08-06-05 2:25,1595.363849
08-06-05 2:30,1617.476695
08-06-05 2:35,1629.195853
08-06-05 2:40,1845.312155
08-06-05 2:45,1649.332044
08-06-05 2:50,1547.267504
08-06-05 2:55,1499.41174
08-06-05 3:00,1459.317981
08-06-05 3:05,1447.949146
08-06-05 3:10,1599.031982
08-06-05 3:15,1555.38996
08-06-05 3:20,1726.665812
08-06-05 3:25,1560.596693
08-06-05 3:30,1487.551813
08-06-05 3:35,1506.83586
08-06-05 3:40,1814.598605
08-06-05 3:45,1675.097503
08-06-05 3:50,1649.725627
08-06-05 3:55,1605.411867
08-06-05 4:00,1631.462039
08-06-05 4:05,1794.111915
08-06-05 4:10,2064.64433
08-06-05 4:15,1805.560623
08-06-05 4:20,1639.043272
08-06-05 4:25,1675.169871
08-06-05 4:30,1786.003377
08-06-05 4:35,2313.753829
08-06-05 4:40,2733.271598
08-06-05 4:45,1999.096513
08-06-05 4:50,1911.255872
08-06-05 4:55,1850.724767
08-06-05 5:00,1844.343109
08-06-05 5:05,1891.90088
08-06-05 5:10,2071.743151
08-06-05 5:15,1917.291872
08-06-05 5:20,1920.241635
08-06-05 5:25,2028.928664
08-06-05 5:30,2192.637441
08-06-05 5:35,2553.091807
08-06-05 5:40,2554.968485
08-06-05 5:45,2391.627246
08-06-05 5:50,2455.430601
08-06-05 5:55,2468.010209
08-06-05 6:00,2650.808208
08-06-05 6:05,2781.247406
08-06-05 6:10,2848.338243
08-06-05 6:15,2931.929285
08-06-05 6:20,2971.844719
08-06-05 6:25,3189.909175
08-06-05 6:30,3452.214549
08-06-05 6:35,4205.761408
08-06-05 6:40,4264.799773
08-06-05 6:45,4151.264837
08-06-05 6:50,4393.686561
08-06-05 6:55,4538.893522
08-06-05 7:00,5190.675656
08-06-05 7:05,5126.512975
08-06-05 7:10,5256.135289
08-06-05 7:15,5824.779869
08-06-05 7:20,5994.016503
08-06-05 7:25,5965.360317
08-06-05 7:30,5983.511218
08-06-05 7:35,6134.09142
08-06-05 7:40,6362.714553
08-06-05 7:45,6150.369804
08-06-05 7:50,6082.786407
08-06-05 7:55,5991.742496
08-06-05 8:00,6275.467515
08-06-05 8:05,6171.775001
08-06-05 8:10,6526.366537
08-06-05 8:15,6607.149977
08-06-05 8:20,6613.251438
08-06-05 8:25,6569.377983
08-06-05 8:30,6742.079953
08-06-05 8:35,6753.617676
08-06-05 8:40,6857.491362
08-06-05 8:45,7074.260798
08-06-05 8:50,7111.874181
08-06-05 8:55,7243.067552
08-06-05 9:00,7318.159907
08-06-05 9:05,7208.833387
08-06-05 9:10,7495.291518
08-06-05 9:15,7547.757614
08-06-05 9:20,7970.479854
08-06-05 9:25,7787.826609
08-06-05 9:30,7685.712107
08-06-05 9:35,7690.375153
08-06-05 9:40,8188.490789
08-06-05 9:45,7934.295948
08-06-05 9:50,7870.868471
08-06-05 9:55,8146.20416
08-06-05 10:00,8180.532426
08-06-05 10:05,8372.604274
08-06-05 10:10,8466.407495
08-06-05 10:15,8437.633882
08-06-05 10:20,8367.609771
08-06-05 10:25,8203.291962
08-06-05 10:30,8024.370575
08-06-05 10:35,7777.108659
08-06-05 10:40,7754.400462
08-06-05 10:45,7609.499824
08-06-05 10:50,7832.00398
08-06-05 10:55,7855.501869
08-06-05 11:00,7845.745786
08-06-05 11:05,7670.633728
08-06-05 11:10,7556.111152
08-06-05 11:15,7418.082652
08-06-05 11:20,7529.16935
08-06-05 11:25,7896.096694
08-06-05 11:30,7493.063224
08-06-05 11:35,7449.015187
08-06-05 11:40,7383.112398
08-06-05 11:45,7639.506802
08-06-05 11:50,7449.686171
08-06-05 11:55,7602.704562
08-06-05 12:00,7790.183518
08-06-05 12:05,7684.660405
08-06-05 12:10,7600.04366
08-06-05 12:15,7575.51087
08-06-05 12:20,7500.447045
08-06-05 12:25,7623.791363
08-06-05 12:30,7587.174475
08-06-05 12:35,7207.576949
08-06-05 12:40,7691.529617
08-06-05 12:45,7572.858911
08-06-05 12:50,7817.424702
08-06-05 12:55,7639.932858
08-06-05 13:00,7404.997195
08-06-05 13:05,7579.326777
08-06-05 13:10,7636.943486
08-06-05 13:15,7683.013173
08-06-05 13:20,7662.021559
08-06-05 13:25,7877.819255
08-06-05 13:30,7572.278263
08-06-05 13:35,7747.598426
08-06-05 13:40,7788.986639
08-06-05 13:45,7690.840293
08-06-05 13:50,7549.023428
08-06-05 13:55,7520.812984
08-06-05 14:00,7749.529516
08-06-05 14:05,7671.190377
08-06-05 14:10,8125.526554
08-06-05 14:15,8285.170772
08-06-05 14:20,7666.445199
08-06-05 14:25,7484.12761
08-06-05 14:30,7300.43517
08-06-05 14:35,7357.803235
08-06-05 14:40,7357.49856
08-06-05 14:45,7203.877884
08-06-05 14:50,7629.384537
08-06-05 14:55,7128.477846
08-06-05 15:00,7200.87155
08-06-05 15:05,7176.632112
08-06-05 15:10,7069.82863
08-06-05 15:15,6939.455449
08-06-05 15:20,6722.450182
08-06-05 15:25,6559.682171
08-06-05 15:30,6394.253104
08-06-05 15:35,6390.636537
08-06-05 15:40,6324.194334
08-06-05 15:45,6209.441159
08-06-05 15:50,6165.689489
08-06-05 15:55,6232.807345
08-06-05 16:00,6228.571345
08-06-05 16:05,5908.982224
08-06-05 16:10,5604.577808
08-06-05 16:15,5527.512983
08-06-05 16:20,5370.258769
08-06-05 16:25,5360.599676
08-06-05 16:30,4964.354033
08-06-05 16:35,4942.059195
08-06-05 16:40,4703.084989
08-06-05 16:45,4681.041519
08-06-05 16:50,4754.15852
08-06-05 16:55,4444.403403
08-06-05 17:00,4718.370181
08-06-05 17:05,5591.422795
08-06-05 17:10,4922.184189
08-06-05 17:15,4917.079925
08-06-05 17:20,4787.678838
08-06-05 17:25,4743.487069
08-06-05 17:30,4705.083312
08-06-05 17:35,4636.802817
08-06-05 17:40,4536.986293
08-06-05 17:45,4214.285916
08-06-05 17:50,4225.41542
08-06-05 17:55,4244.44801
08-06-05 18:00,4247.183335
08-06-05 18:05,4183.373806
08-06-05 18:10,4225.952893
08-06-05 18:15,4136.457874
08-06-05 18:20,4025.43588
08-06-05 18:25,4174.98
08-06-05 18:30,4157.140866
08-06-05 18:35,4147.06909
08-06-05 18:40,4192.792799
08-06-05 18:45,4171.368781
08-06-05 18:50,4373.040021
08-06-05 18:55,4005.724049
08-06-05 19:00,4086.620948
08-06-05 19:05,3991.06751
08-06-05 19:10,3861.483709
08-06-05 19:15,3866.816123
08-06-05 19:20,3955.45703
08-06-05 19:25,4057.432509
08-06-05 19:30,4053.167494
08-06-05 19:35,3971.833521
08-06-05 19:40,3925.243304
08-06-05 19:45,3727.992069
08-06-05 19:50,3734.42852
08-06-05 19:55,3643.339896
08-06-05 20:00,3638.246092
08-06-05 20:05,3575.434403
08-06-05 20:10,3537.60546
08-06-05 20:15,3537.35928
08-06-05 20:20,3433.7576
08-06-05 20:25,3365.056676
08-06-05 20:30,3373.005665
08-06-05 20:35,3495.62244
08-06-05 20:40,3248.97403
08-06-05 20:45,3386.610556
08-06-05 20:50,3363.591768
08-06-05 20:55,3180.512505
08-06-05 21:00,3389.436344
08-06-05 21:05,3111.481798
08-06-05 21:10,2959.890949
08-06-05 21:15,2813.817089
08-06-05 21:20,2800.939104
08-06-05 21:25,2758.415402
08-06-05 21:30,2915.608301
08-06-05 21:35,2645.295932
08-06-05 21:40,2490.175957
08-06-05 21:45,2467.613696
08-06-05 21:50,2538.000213
08-06-05 21:55,2611.889662
08-06-05 22:00,2927.761178
08-06-05 22:05,2542.556943
08-06-05 22:10,2420.688595
08-06-05 22:15,2360.250385
08-06-05 22:20,2298.892642
08-06-05 22:25,2245.640429
08-06-05 22:30,2304.685634
08-06-05 22:35,2234.252324
08-06-05 22:40,2171.028659
08-06-05 22:45,2184.796539
08-06-05 22:50,2144.066676
08-06-05 22:55,2278.44898
08-06-05 23:00,2377.24434
08-06-05 23:05,2146.292416
08-06-05 23:10,2131.630175
08-06-05 23:15,2066.553106
08-06-05 23:20,2266.775853
08-06-05 23:25,2364.478901
08-06-05 23:30,2299.417518
08-06-05 23:35,2121.105382
08-06-05 23:40,1744.896078
08-06-05 23:45,1758.885629
08-06-05 23:50,1743.515468
08-06-05 23:55,1917.418102
09-06-05 0:00,1890.448217
09-06-05 0:05,1852.90346
09-06-05 0:10,1858.948247
09-06-05 0:15,1822.512261
09-06-05 0:20,1818.155264
09-06-05 0:25,1906.051079
09-06-05 0:30,1933.967169
09-06-05 0:35,1793.654074
09-06-05 0:40,1686.083864
09-06-05 0:45,1712.380806
09-06-05 0:50,1749.792821
09-06-05 0:55,1868.82067
09-06-05 1:00,1699.904914
09-06-05 1:05,1721.010483
09-06-05 1:10,1717.039917
09-06-05 1:15,1742.508931
09-06-05 1:20,1663.583725
09-06-05 1:25,1776.916253
09-06-05 1:30,1723.292151
09-06-05 1:35,1660.695089
09-06-05 1:40,1596.729108
09-06-05 1:45,1622.199038
09-06-05 1:50,1656.53445
09-06-05 1:55,1764.029559
09-06-05 2:00,1673.219248
09-06-05 2:05,1634.36463
09-06-05 2:10,1676.337091
09-06-05 2:15,1568.064114
09-06-05 2:20,1598.472851
09-06-05 2:25,1749.662673
09-06-05 2:30,1651.504479
09-06-05 2:35,1600.304377
09-06-05 2:40,1600.993806
09-06-05 2:45,1598.880695
09-06-05 2:50,1587.895043
09-06-05 2:55,1818.2238
09-06-05 3:00,1650.463219
09-06-05 3:05,1617.521611
09-06-05 3:10,1700.692639
09-06-05 3:15,1631.253009
09-06-05 3:20,1664.407701
09-06-05 3:25,1751.947662
09-06-05 3:30,1554.95831
09-06-05 3:35,1491.35971
09-06-05 3:40,1514.41749
09-06-05 3:45,1563.769407
09-06-05 3:50,1583.983976
09-06-05 3:55,1863.897883
09-06-05 4:00,1545.35702
09-06-05 4:05,1560.21286
09-06-05 4:10,1546.619707
09-06-05 4:15,1588.784465
09-06-05 4:20,1699.029301
09-06-05 4:25,1720.281611
09-06-05 4:30,1863.255414
09-06-05 4:35,1750.905936
09-06-05 4:40,1828.337839
09-06-05 4:45,1843.65427
09-06-05 4:50,2105.475588
09-06-05 4:55,2298.814437
09-06-05 5:00,2297.052248
09-06-05 5:05,2437.482401
09-06-05 5:10,2432.133664
09-06-05 5:15,2526.642799
09-06-05 5:20,2682.154847
09-06-05 5:25,2793.653719
09-06-05 5:30,2882.858302
09-06-05 5:35,2912.165435
09-06-05 5:40,3082.359242
09-06-05 5:45,3286.118692
09-06-05 5:50,3654.751136
09-06-05 5:55,3978.073153
09-06-05 6:00,4087.884056
09-06-05 6:05,4066.668149
09-06-05 6:10,4126.857073
09-06-05 6:15,4295.606794
09-06-05 6:20,4553.782306
09-06-05 6:25,4668.600234
09-06-05 6:30,4973.181105
09-06-05 6:35,5042.77638
09-06-05 6:40,5133.563502
09-06-05 6:45,5467.915938
09-06-05 6:50,5939.877993
09-06-05 6:55,6040.643374
09-06-05 7:00,6290.777264
09-06-05 7:05,6662.998468
09-06-05 7:10,6690.785097
09-06-05 7:15,6484.899992
09-06-05 7:20,6359.260404
09-06-05 7:25,6800.682733
09-06-05 7:30,6668.964347
09-06-05 7:35,6295.949739
09-06-05 7:40,6396.470869
09-06-05 7:45,6613.455435
09-06-05 7:50,6923.345832
09-06-05 7:55,7010.634562
09-06-05 8:00,7289.890016
09-06-05 8:05,7292.598839
09-06-05 8:10,7049.853827
09-06-05 8:15,6942.064453
09-06-05 8:20,7114.536725
09-06-05 8:25,7168.66177
09-06-05 8:30,7475.271812
