Date,"Close Price"
"2017-08-23 00:00:00",4191.22
"2017-08-24 00:00:00",4362.47
"2017-08-25 00:00:00",4408.32
"2017-08-26 00:00:00",4387.46
"2017-08-27 00:00:00",4394.51
"2017-08-28 00:00:00",4439.66
"2017-08-29 00:00:00",4648.13
"2017-08-30 00:00:00",4630.73
"2017-08-31 00:00:00",4764.87
"2017-09-01 00:00:00",4950.72
"2017-09-02 00:00:00",4643.97
"2017-09-03 00:00:00",4631.69
"2017-09-04 00:00:00",4319.72
"2017-09-05 00:00:00",4422.12
"2017-09-06 00:00:00",4626.72
"2017-09-07 00:00:00",4638.1
"2017-09-08 00:00:00",4317.54
"2017-09-09 00:00:00",4291.88
"2017-09-10 00:00:00",4191.17
"2017-09-11 00:00:00",4188.84
"2017-09-12 00:00:00",4148.27
"2017-09-13 00:00:00",3874.26
"2017-09-14 00:00:00",3226.41
"2017-09-15 00:00:00",3686.9
"2017-09-16 00:00:00",3678.74
"2017-09-17 00:00:00",3672.57
"2017-09-18 00:00:00",4067.08
"2017-09-19 00:00:00",3897
"2017-09-20 00:00:00",3858.09
"2017-09-21 00:00:00",3612.68
"2017-09-22 00:00:00",3603.31
"2017-09-23 00:00:00",3777.29
"2017-09-24 00:00:00",3662.12
"2017-09-25 00:00:00",3927.5
"2017-09-26 00:00:00",3895.51
"2017-09-27 00:00:00",4208.56
"2017-09-28 00:00:00",4185.29
"2017-09-29 00:00:00",4164.1
"2017-09-30 00:00:00",4353.05
"2017-10-01 00:00:00",4394.64
"2017-10-02 00:00:00",4404.1
"2017-10-03 00:00:00",4320.09
"2017-10-04 00:00:00",4225.92
"2017-10-05 00:00:00",4322.75
"2017-10-06 00:00:00",4370.24
"2017-10-07 00:00:00",4437.03
"2017-10-08 00:00:00",4596.96
"2017-10-09 00:00:00",4772.97
"2017-10-10 00:00:00",4754.7
"2017-10-11 00:00:00",4830.77
"2017-10-12 00:00:00",5439.13
"2017-10-13 00:00:00",5640.13
"2017-10-14 00:00:00",5809.69
"2017-10-15 00:00:00",5697.39
"2017-10-16 00:00:00",5754.22
"2017-10-17 00:00:00",5595.23
"2017-10-18 00:00:00",5572.2
"2017-10-19 00:00:00",5699.58
"2017-10-20 00:00:00",5984.09
"2017-10-21 00:00:00",6013.23
"2017-10-22 00:00:00",5984.96
"2017-10-23 00:00:00",5895.3
"2017-10-24 00:00:00",5518.85
"2017-10-25 00:00:00",5733.9
"2017-10-26 00:00:00",5888.14
"2017-10-27 00:00:00",5767.68
"2017-10-28 00:00:00",5732.82
"2017-10-29 00:00:00",6140.53
"2017-10-30 00:00:00",6121.8
"2017-10-31 00:00:00",6447.67
"2017-11-01 00:00:00",6750.17
"2017-11-02 00:00:00",7030
"2017-11-03 00:00:00",7161.45
"2017-11-04 00:00:00",7387
"2017-11-05 00:00:00",7382.45
"2017-11-06 00:00:00",6958.21
"2017-11-07 00:00:00",7118.8
"2017-11-08 00:00:00",7458.79
"2017-11-09 00:00:00",7146.78
"2017-11-10 00:00:00",6570.31
"2017-11-11 00:00:00",6337
"2017-11-12 00:00:00",5857.32
"2017-11-13 00:00:00",6517.68
"2017-11-14 00:00:00",6598.77
"2017-11-15 00:00:00",7279
"2017-11-16 00:00:00",7843.94
"2017-11-17 00:00:00",7689.91
"2017-11-18 00:00:00",7776.94
"2017-11-19 00:00:00",8033.94
"2017-11-20 00:00:00",8238.2
"2017-11-21 00:00:00",8095.59
"2017-11-22 00:00:00",8230.69
"2017-11-23 12:50:00",8176

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
